Accession,Submitters,Release_Date,Pangolin,Species,Molecule_type,Length,Nuc_Completeness,Geo_Location,USA,Host,Isolation_Source,Collection_Date
MT412337.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29840,complete,USA: WA,WA,Homo sapiens,,2020-04-03
MT415894.1,"Fink,L.",2020-04-30T00:00:00Z,B.1.37,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29866,complete,USA: VA,VA,Homo sapiens,,2020-03
MT415895.1,"Fink,L.",2020-04-30T00:00:00Z,A.3,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29867,complete,USA: VA,VA,Homo sapiens,,2020-03
MT415896.1,"Fink,L.",2020-04-30T00:00:00Z,A.3,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29856,complete,USA: VA,VA,Homo sapiens,,2020-03
MT415897.1,"Fink,L.",2020-04-30T00:00:00Z,B.1.37,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29868,complete,USA: VA,VA,Homo sapiens,,2020-03
MT415898.1,"Fink,L.",2020-04-30T00:00:00Z,B.1.37,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29861,complete,USA: VA,VA,Homo sapiens,,2020-03
MT415899.1,"Fink,L.",2020-04-30T00:00:00Z,B.1.37,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29897,complete,USA: VA,VA,Homo sapiens,,2020-03
MT415900.1,"Fink,L.",2020-04-30T00:00:00Z,B.1.37,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29899,complete,USA: VA,VA,Homo sapiens,,2020-03
MT415901.1,"Fink,L.",2020-04-30T00:00:00Z,B.1.37,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29865,complete,USA: VA,VA,Homo sapiens,,2020-04
MT415902.1,"Fink,L.",2020-04-30T00:00:00Z,B.1.37,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29887,complete,USA: VA,VA,Homo sapiens,,2020-03
MT415903.1,"Fink,L.",2020-04-30T00:00:00Z,B.1.37,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29903,complete,USA: VA,VA,Homo sapiens,,2020-03
MT415904.1,"Fink,L.",2020-04-30T00:00:00Z,B.1.37,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29901,complete,USA: VA,VA,Homo sapiens,,2020-04
MT415905.1,"Fink,L.",2020-04-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29895,complete,USA: VA,VA,Homo sapiens,,2020-04
MT415906.1,"Fink,L.",2020-04-30T00:00:00Z,B.1.37,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29903,complete,USA: VA,VA,Homo sapiens,,2020-03
MT415907.1,"Fink,L.",2020-04-30T00:00:00Z,B.1.37,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29900,complete,USA: VA,VA,Homo sapiens,,2020-04
MT415908.1,"Fink,L.",2020-04-30T00:00:00Z,B.1.37,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29840,complete,USA: VA,VA,Homo sapiens,,2020-04
MT415909.1,"Fink,L.",2020-04-30T00:00:00Z,B.1.37,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29865,complete,USA: VA,VA,Homo sapiens,,2020-04
MT415910.1,"Fink,L.",2020-04-30T00:00:00Z,B.1.37,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29891,complete,USA: VA,VA,Homo sapiens,,2020-04
MT415911.1,"Fink,L.",2020-04-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29893,complete,USA: VA,VA,Homo sapiens,,2020-04
